 |        | 1月 | 2月 | 3月 | 4月 | 5月 | 6月 | 7月 | 8月 | 9月 | 10月 | 11月 | 12月 |
 | ------ | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---- | ---- | ---- |
 | 1935年 | 13  | 44  | 12  | 43  | 13  | 44  | 14  | 45  | 16  | 46   | 17   | 47   |
 | 1936年 | 18  | 49  | 18  | 49  | 19  | 50  | 20  | 51  | 22  | 52   | 23   | 53   |
 | 1937年 | 24  | 55  | 23  | 54  | 24  | 55  | 25  | 56  | 27  | 57   | 28   | 58   |
 | 1939年 | 34  | 5   | 33  | 4   | 34  | 5   | 35  | 6   | 37  | 7    | 38   | 8    |
 | 1940年 | 39  | 10  | 39  | 10  | 40  | 11  | 41  | 12  | 43  | 13   | 44   | 14   |
 | 1941年 | 45  | 16  | 44  | 15  | 45  | 16  | 46  | 17  | 48  | 18   | 49   | 19   |
 | 1942年 | 50  | 51  | 49  | 20  | 50  | 21  | 51  | 22  | 53  | 23   | 54   | 24   |
 | 1943年 | 55  | 26  | 54  | 25  | 55  | 26  | 56  | 27  | 58  | 28   | 59   | 29   |
 | 1944年 | 0   | 31  | 0   | 31  | 1   | 32  | 2   | 33  | 4   | 34   | 5    | 35   |
 | 1945年 | 6   | 37  | 5   | 36  | 6   | 37  | 7   | 38  | 9   | 39   | 10   | 40   |
 | 1946年 | 11  | 42  | 10  | 41  | 11  | 42  | 12  | 43  | 14  | 44   | 15   | 45   |
 | 1947年 | 16  | 47  | 15  | 46  | 16  | 47  | 17  | 48  | 19  | 49   | 20   | 50   |
 | 1948年 | 21  | 52  | 21  | 52  | 22  | 53  | 23  | 54  | 25  | 55   | 26   | 56   |
 | 1949年 | 27  | 58  | 26  | 57  | 27  | 58  | 28  | 59  | 30  | 0    | 31   | 1    |
 | 1950年 | 32  | 3   | 31  | 2   | 32  | 3   | 33  | 4   | 35  | 5    | 36   | 6    |
 | 1951年 | 37  | 8   | 36  | 7   | 37  | 8   | 38  | 9   | 40  | 10   | 41   | 11   |
 | 1952年 | 42  | 13  | 42  | 13  | 43  | 14  | 44  | 15  | 46  | 16   | 47   | 17   |
 | 1953年 | 48  | 19  | 47  | 18  | 48  | 19  | 49  | 20  | 51  | 21   | 52   | 22   |
 | 1954年 | 53  | 24  | 52  | 23  | 53  | 24  | 54  | 25  | 56  | 26   | 57   | 27   |
 | 1955年 | 58  | 29  | 57  | 28  | 58  | 29  | 59  | 30  | 1   | 31   | 2    | 32   |
 | 1956年 | 3   | 34  | 3   | 34  | 4   | 35  | 5   | 36  | 7   | 37   | 8    | 38   |
 | 1957年 | 9   | 40  | 8   | 39  | 9   | 40  | 10  | 41  | 12  | 42   | 13   | 43   |
 | 1958年 | 14  | 45  | 13  | 44  | 14  | 45  | 15  | 46  | 17  | 47   | 18   | 48   |
 | 1959年 | 19  | 50  | 18  | 49  | 19  | 50  | 20  | 51  | 22  | 52   | 23   | 53   |
 | 1960年 | 24  | 55  | 24  | 55  | 25  | 56  | 26  | 57  | 28  | 58   | 29   | 59   |
 | 1961年 | 30  | 1   | 29  | 0   | 30  | 1   | 31  | 2   | 33  | 3    | 34   | 4    |
 | 1962年 | 35  | 6   | 34  | 5   | 35  | 6   | 36  | 7   | 38  | 8    | 39   | 9    |
 | 1963年 | 40  | 11  | 39  | 10  | 40  | 11  | 41  | 12  | 43  | 13   | 44   | 14   |
 | 1964年 | 45  | 16  | 45  | 16  | 46  | 17  | 47  | 18  | 49  | 19   | 50   | 20   |
 | 1965年 | 51  | 22  | 50  | 21  | 51  | 22  | 52  | 23  | 54  | 24   | 55   | 25   |
 | 1966年 | 56  | 27  | 55  | 26  | 56  | 27  | 57  | 28  | 59  | 29   | 0    | 30   |
 | 1967年 | 1   | 32  | 0   | 31  | 1   | 32  | 2   | 33  | 4   | 34   | 5    | 35   |
 | 1968年 | 6   | 37  | 6   | 37  | 7   | 38  | 8   | 39  | 10  | 40   | 11   | 41   |
 | 1969年 | 12  | 43  | 11  | 42  | 12  | 43  | 13  | 44  | 15  | 45   | 16   | 46   |
 | 1970年 | 17  | 48  | 16  | 47  | 17  | 48  | 18  | 49  | 20  | 50   | 21   | 51   |
 | 1971年 | 22  | 53  | 21  | 52  | 22  | 53  | 23  | 54  | 25  | 55   | 26   | 56   |
 | 1972年 | 27  | 58  | 27  | 58  | 28  | 59  | 29  | 0   | 31  | 1    | 32   | 2    |
 | 1973年 | 33  | 4   | 32  | 3   | 33  | 4   | 34  | 5   | 36  | 6    | 37   | 7    |
 | 1974年 | 38  | 9   | 37  | 8   | 38  | 9   | 39  | 10  | 41  | 11   | 42   | 12   |
 | 1975年 | 43  | 14  | 42  | 13  | 43  | 14  | 44  | 15  | 46  | 16   | 47   | 17   |
 | 1976年 | 48  | 19  | 48  | 19  | 49  | 20  | 50  | 21  | 52  | 22   | 53   | 23   |
 | 1977年 | 54  | 25  | 53  | 24  | 54  | 25  | 55  | 26  | 57  | 27   | 58   | 28   |
 | 1978年 | 59  | 30  | 58  | 29  | 59  | 30  | 0   | 31  | 2   | 32   | 3    | 33   |
 | 1979年 | 4   | 35  | 3   | 34  | 4   | 35  | 5   | 36  | 7   | 37   | 8    | 38   |
